species,pc.known,pc.inferred,pc.region,ref
Rynchops_niger,Pair,Pair,Neotropical,"Zusi RL (1996) Family Rynchopidae (Skimmers).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 668-677. Lynx edicions: Barcelona."
Rynchops_flavirostris,Pair,Pair,Africa,"Zusi RL (1996) Family Rynchopidae (Skimmers).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 668-677. Lynx edicions: Barcelona."
Rynchops_albicollis,Pair,Pair,Indomalayan,"Zusi RL (1996) Family Rynchopidae (Skimmers).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 668-677. Lynx edicions: Barcelona."
Anous_stolidus,Pair,Pair,Widespread,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Anous_minutus,Pair,Pair,Widespread,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Anous_tenuirostris,Pair,Pair,Widespread,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Gygis_alba,Pair,Pair,Widespread,"Niethammer KR,  Patrick LB (1998) White tern.  in Birds of North America: Life Histories for the Twenty-First Century. (ed. Poole A, Stettenheim P,  Gill F)  p. 1-20. American Ornithologist's Union and Academy of Natural Sciences, Philadelphia: Washington, D.C."
Sternula_albifrons,Pair,Pair,Widespread,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Sternula_saundersi,Pair,Pair,Widespread,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Sternula_antillarum,Pair,Pair,Nearctic,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Sternula_superciliaris,Pair,Pair,Neotropical,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Sternula_lorata,Pair,Pair,Neotropical,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Sternula_nereis,Pair,Pair,Australia,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Sternula_balaenarum,Pair,Pair,Africa,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Onychoprion_aleutica,Pair,Pair,Holarctic,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Onychoprion_lunata,Pair,Pair,Australia,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Onychoprion_anaethetus,Pair,Pair,Widespread,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Onychoprion_fuscata,Occasional,Pair,Widespread,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona. || Schreiber EA, Feare CJ, Harrington BA, Murray BG, Robertson WB, Robertson MJ, Woolfenden GE (2002) Sooty tern.  in Birds of North America: Life Histories for the Twenty-First Century. (ed. Poole A, Stettenheim P,  Gill F)  p. 1-32. American Ornithologist's Union and Academy of Natural Sciences, Philadelphia: Washington, D.C."
Phaetusa_simplex,Pair,Pair,Neotropical,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Geochelidon_nilotica,Pair,Pair,Widespread,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Hydroprogne_caspia,Pair,Pair,Widespread,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Larosterna_inca,Pair,Pair,Neotropical,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Chlidonias_albostriatus,Pair,Pair,Australia,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Chlidonias_hybridus,Pair,Pair,Widespread,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Chlidonias_leucopterus,Pair,Pair,Palearctic,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Chlidonias_niger,Pair,Pair,Holarctic,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Thalasseus_elegans,Pair,Pair,Nearctic,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Thalasseus_bengalensis,Pair,Pair,Widespread,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Thalasseus_bergii,Pair,Pair,Widespread,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Thalasseus_bernsteini,Unknown,Pair,Palearctic,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Thalasseus_sandvicensis,Pair,Pair,Widespread,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Sterna_repressa,Pair,Pair,Africa,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Sterna_acuticauda,Pair,Pair,Indomalayan,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Sterna_aurantia,Pair,Pair,Indomalayan,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Sterna_maxima,Pair,Pair,Widespread,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Sterna_dougallii,Occasional,Pair,Widespread,"Gochfeld M, Burger J, Nisbet ICT (1998) Roseate tern.  in Birds of North America: Life Histories for the Twenty-First Century. (ed. Poole A, Stettenheim P,  Gill F)  p. 1-32. American Ornithologist's Union and Academy of Natural Sciences, Philadelphia: Washington, D.C."
Sterna_striata,Pair,Pair,Australia,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Sterna_sumatrana,Pair,Pair,Widespread,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Sterna_hirundinacea,Pair,Pair,Neotropical,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Sterna_hirundo,Occasional,Pair,Holarctic,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona. || Nisbet ICT (2002) Common tern.  in Birds of North America: Life Histories for the Twenty-First Century. (ed. Poole A, Stettenheim P,  Gill F)  p. 1-40. American Ornithologist's Union and Academy of Natural Sciences, Philadelphia: Washington, D.C. || Ludwigs J-D (2004) A case of cooperative polyandry in the common tern. Waterbirds  27: 31-34."
Sterna_paradisaea,Occasional,Pair,Holarctic,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona. || Cullen JM (1957) Plumage, age and mortality in the Arctic tern. Bird Study  4: 197-207."
Sterna_vittata,Pair,Pair,Antarctic,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Sterna_virgata,Pair,Pair,Antarctic,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Sterna_forsteri,Pair,Pair,Nearctic,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Sterna_trudeaui,Pair,Pair,Neotropical,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Procelsterna_cerulea,Pair,Pair,Australia,"Gochfeld M,  Burger J (1996) Family Sternidae (Terns).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 624-667. Lynx edicions: Barcelona."
Catharacta_skua,Pair,Pair,Palearctic,"Furness RW (1996) Family Stercorariidae (Skuas).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 556-571. Lynx edicions: Barcelona."
Catharacta_antarctica,Pair,Pair,Antarctic,"Furness RW (1996) Family Stercorariidae (Skuas).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 556-571. Lynx edicions: Barcelona."
Catharacta_lonnbergi,Cooperation,Cooperation,Antarctic,"Furness RW (1996) Family Stercorariidae (Skuas).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 556-571. Lynx edicions: Barcelona."
Catharacta_chilensis,Pair,Pair,Neotropical,"Furness RW (1996) Family Stercorariidae (Skuas).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 556-571. Lynx edicions: Barcelona."
Catharacta_maccormicki,Pair,Pair,Antarctic,"Furness RW (1996) Family Stercorariidae (Skuas).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 556-571. Lynx edicions: Barcelona."
Stercorarius_pomarinus,Pair,Pair,Palearctic,"Furness RW (1996) Family Stercorariidae (Skuas).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 556-571. Lynx edicions: Barcelona."
Stercorarius_parasiticus,Occasional,Pair,Palearctic,"Furness RW (1996) Family Stercorariidae (Skuas).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 556-571. Lynx edicions: Barcelona. || Elmberg J (1992) Cooperative nest defence by trios of arctic skuas Stercorarius parasiticus. Ibis  134: 298."
Stercorarius_longicaudus,Pair,Pair,Palearctic,"Furness RW (1996) Family Stercorariidae (Skuas).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 556-571. Lynx edicions: Barcelona."
Alle_alle,Pair,Pair,Holarctic,"Gaston AJ,  Jones IL (1998) The auks (Alcidae). Oxford University Press: Oxford. "
Uria_aalge,Occasional,Pair,Holarctic,NA
Uria_lomvia,Pair,Pair,Holarctic,"Gaston AJ,  Jones IL (1998) The auks (Alcidae). Oxford University Press: Oxford.  || Kober K,  Gaston AJ (2003) Social interactions among breeding Bruennich's guillemots Uria lomvia suggest constraints in relation to offspring vulnerability. Ibis  145: 413-418."
Alca_torda,Pair,Pair,Holarctic,"Gaston AJ,  Jones IL (1998) The auks (Alcidae). Oxford University Press: Oxford. "
Cepphus_grylle,Pair,Pair,Holarctic,"Gaston AJ,  Jones IL (1998) The auks (Alcidae). Oxford University Press: Oxford. "
Cepphus_columba,Pair,Pair,Holarctic,"Gaston AJ,  Jones IL (1998) The auks (Alcidae). Oxford University Press: Oxford. "
Cepphus_carbo,Pair,Pair,Palearctic,"Gaston AJ,  Jones IL (1998) The auks (Alcidae). Oxford University Press: Oxford. "
Brachyramphus_marmoratus,Pair,Pair,Holarctic,"Gaston AJ,  Jones IL (1998) The auks (Alcidae). Oxford University Press: Oxford. "
Brachyramphus_brevirostris,Pair,Pair,Holarctic,"Gaston AJ,  Jones IL (1998) The auks (Alcidae). Oxford University Press: Oxford. "
Synthliboramphus_hypoleucus,Pair,Pair,Nearctic,"Gaston AJ,  Jones IL (1998) The auks (Alcidae). Oxford University Press: Oxford. "
Synthliboramphus_craveri,Pair,Pair,Nearctic,"Gaston AJ,  Jones IL (1998) The auks (Alcidae). Oxford University Press: Oxford. "
Synthliboramphus_antiquus,Pair,Pair,Holarctic,"Gaston AJ,  Jones IL (1998) The auks (Alcidae). Oxford University Press: Oxford. "
Synthliboramphus_wumizusume,Pair,Pair,Palearctic,"Gaston AJ,  Jones IL (1998) The auks (Alcidae). Oxford University Press: Oxford. "
Ptychoramphus_aleuticus,Pair,Pair,Holarctic,"Gaston AJ,  Jones IL (1998) The auks (Alcidae). Oxford University Press: Oxford. "
Cyclorrhynchus_psittacula,Captivity,Pair,Holarctic,"Gaston AJ,  Jones IL (1998) The auks (Alcidae). Oxford University Press: Oxford.  || Grimes J,  Logan C (2001) Nest attendants in parakeet auklets. Zoo Biology  20: 271-277."
Aethia_cristatella,Pair,Pair,Holarctic,"Gaston AJ,  Jones IL (1998) The auks (Alcidae). Oxford University Press: Oxford. "
Aethia_pygmaea,Pair,Pair,Holarctic,"Gaston AJ,  Jones IL (1998) The auks (Alcidae). Oxford University Press: Oxford. "
Aethia_pusilla,Pair,Pair,Holarctic,"Gaston AJ,  Jones IL (1998) The auks (Alcidae). Oxford University Press: Oxford. "
Cerorhinca_monocerata,Pair,Pair,Holarctic,"Gaston AJ,  Jones IL (1998) The auks (Alcidae). Oxford University Press: Oxford. "
Fratercula_arctica,Pair,Pair,Holarctic,"Gaston AJ,  Jones IL (1998) The auks (Alcidae). Oxford University Press: Oxford. "
Fratercula_corniculata,Pair,Pair,Holarctic,"Gaston AJ,  Jones IL (1998) The auks (Alcidae). Oxford University Press: Oxford. "
Fratercula_cirrhata,Pair,Pair,Holarctic,"Gaston AJ,  Jones IL (1998) The auks (Alcidae). Oxford University Press: Oxford. "
Pluvianus_aegyptius,Pair,Pair,Africa,"Maclean GL (1996) Family Glareolidae (Coursers and pratincoles).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 364-383. Lynx edicions: Barcelona."
Rhinoptilus_africanus,Pair,Pair,Africa,"Maclean GL (1996) Family Glareolidae (Coursers and pratincoles).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 364-383. Lynx edicions: Barcelona."
Rhinoptilus_chalcopterus,Pair,Pair,Africa,"Maclean GL (1996) Family Glareolidae (Coursers and pratincoles).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 364-383. Lynx edicions: Barcelona."
Rhinoptilus_cinctus,Pair,Pair,Africa,"Maclean GL (1996) Family Glareolidae (Coursers and pratincoles).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 364-383. Lynx edicions: Barcelona."
Rhinoptilus_bitorquatus,Unknown,Pair,Indomalayan,"Maclean GL (1996) Family Glareolidae (Coursers and pratincoles).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 364-383. Lynx edicions: Barcelona."
Cursorius_cursor,Pair,Pair,Widespread,"Maclean GL (1996) Family Glareolidae (Coursers and pratincoles).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 364-383. Lynx edicions: Barcelona."
Cursorius_rufus,Unknown,Pair,Africa,"Maclean GL (1996) Family Glareolidae (Coursers and pratincoles).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 364-383. Lynx edicions: Barcelona."
Cursorius_temminckii,Pair,Pair,Africa,"Maclean GL (1996) Family Glareolidae (Coursers and pratincoles).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 364-383. Lynx edicions: Barcelona."
Cursorius_coromandelicus,Pair,Pair,Indomalayan,"Maclean GL (1996) Family Glareolidae (Coursers and pratincoles).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 364-383. Lynx edicions: Barcelona."
Glareola_pratincola,Pair,Pair,Widespread,"Maclean GL (1996) Family Glareolidae (Coursers and pratincoles).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 364-383. Lynx edicions: Barcelona."
Glareola_maldivarum,Pair,Pair,Widespread,"Maclean GL (1996) Family Glareolidae (Coursers and pratincoles).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 364-383. Lynx edicions: Barcelona."
Glareola_nordmanni,Pair,Pair,Palearctic,"Maclean GL (1996) Family Glareolidae (Coursers and pratincoles).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 364-383. Lynx edicions: Barcelona."
Glareola_ocularis,Unknown,Pair,Africa,"Maclean GL (1996) Family Glareolidae (Coursers and pratincoles).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 364-383. Lynx edicions: Barcelona."
Glareola_nuchalis,Pair,Pair,Africa,"Maclean GL (1996) Family Glareolidae (Coursers and pratincoles).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 364-383. Lynx edicions: Barcelona."
Glareola_cinerea,Unknown,Pair,Africa,"Maclean GL (1996) Family Glareolidae (Coursers and pratincoles).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 364-383. Lynx edicions: Barcelona."
Glareola_lactea,Pair,Pair,Indomalayan,"Maclean GL (1996) Family Glareolidae (Coursers and pratincoles).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 364-383. Lynx edicions: Barcelona."
Stiltia_isabella,Pair,Pair,Australia,"Maclean GL (1996) Family Glareolidae (Coursers and pratincoles).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 364-383. Lynx edicions: Barcelona."
Dromas_ardeola,Pair,Pair,Palearctic,"Rands MRW (1996) Family Dromadidae (Crab plover).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 302-307. Lynx edicions: Barcelona."
Turnix_sylvatica,Male only,Male only,Widespread,"Madge S,  McGowan P (2002) Pheasants, partridges and grouse. Christopher Helm: London. "
Turnix_maculosa,Male only,Male only,Australia,"Madge S,  McGowan P (2002) Pheasants, partridges and grouse. Christopher Helm: London. "
Turnix_hottentotta,Male only,Male only,Africa,"Madge S,  McGowan P (2002) Pheasants, partridges and grouse. Christopher Helm: London. "
Turnix_tanki,Male only,Male only,Indomalayan,"Madge S,  McGowan P (2002) Pheasants, partridges and grouse. Christopher Helm: London. "
Turnix_ocellata,Male only,Male only,Indomalayan,"Madge S,  McGowan P (2002) Pheasants, partridges and grouse. Christopher Helm: London. "
Turnix_suscitator,Male only,Male only,Indomalayan,"Madge S,  McGowan P (2002) Pheasants, partridges and grouse. Christopher Helm: London. "
Turnix_nigricollis,Male only,Male only,Africa,"Madge S,  McGowan P (2002) Pheasants, partridges and grouse. Christopher Helm: London. "
Turnix_melanogaster,Male only,Male only,Australia,"Madge S,  McGowan P (2002) Pheasants, partridges and grouse. Christopher Helm: London. "
Turnix_castanota,Male only,Male only,Australia,"Madge S,  McGowan P (2002) Pheasants, partridges and grouse. Christopher Helm: London. "
Turnix_olivii,Male only,Male only,Australia,"Madge S,  McGowan P (2002) Pheasants, partridges and grouse. Christopher Helm: London. "
Turnix_varia,Male only,Male only,Australia,"Madge S,  McGowan P (2002) Pheasants, partridges and grouse. Christopher Helm: London. "
Turnix_worcesteri,Unknown,Male only,Indomalayan,"Madge S,  McGowan P (2002) Pheasants, partridges and grouse. Christopher Helm: London. "
Turnix_everetti,Unknown,Male only,Australia,"Madge S,  McGowan P (2002) Pheasants, partridges and grouse. Christopher Helm: London. "
Turnix_pyrrhothorax,Male only,Male only,Australia,"Madge S,  McGowan P (2002) Pheasants, partridges and grouse. Christopher Helm: London. "
Turnix_velox,Male only,Male only,Australia,"Madge S,  McGowan P (2002) Pheasants, partridges and grouse. Christopher Helm: London. "
Ortyxelos_meiffrenii,Unknown,Male only,Africa,"Madge S,  McGowan P (2002) Pheasants, partridges and grouse. Christopher Helm: London. "
Pluvialis_apricaria,Pair,Pair,Palearctic,"Piersma T,  Wiersma T (1996) Family Charadriidae (Plovers).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 384-443. Lynx edicions: Barcelona."
Pluvialis_fulva,Pair,Pair,Holarctic,"Piersma T,  Wiersma T (1996) Family Charadriidae (Plovers).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 384-443. Lynx edicions: Barcelona."
Pluvialis_dominica,Pair,Pair,Nearctic,"Piersma T,  Wiersma T (1996) Family Charadriidae (Plovers).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 384-443. Lynx edicions: Barcelona."
Pluvialis_squatarola,Pair,Pair,Holarctic,"Piersma T,  Wiersma T (1996) Family Charadriidae (Plovers).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 384-443. Lynx edicions: Barcelona."
Oreopholus_ruficollis,Unknown,Pair,Neotropical,"Piersma T,  Wiersma T (1996) Family Charadriidae (Plovers).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 384-443. Lynx edicions: Barcelona."
Eudromias_morinellus,Male only,Male only,Palearctic,"Piersma T,  Wiersma T (1996) Family Charadriidae (Plovers).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 384-443. Lynx edicions: Barcelona."
Phegornis_mitchellii,Unknown,Pair,Neotropical,"Piersma T,  Wiersma T (1996) Family Charadriidae (Plovers).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 384-443. Lynx edicions: Barcelona."
Anarhynchus_frontalis,Pair,Pair,Australia,"Piersma T,  Wiersma T (1996) Family Charadriidae (Plovers).  in Handbook of the birds of the world. Vol. 3. Hoatzin to auks. (ed. del Hoyo J, Elliott A,  Saragatal J)  p. 384-443. Lynx edicions: Barcelona."
